name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Roger Hayes,M,SBD,Single-ply,NA,NA,Masters 1,90,90,265,160,280,2,1989-08-11,IPF,World Masters Powerlifting Championships
Manjeet Kaur,F,SBD,Single-ply,19.5,20-23,Open,87.84,90,170,85,140,10,2008-10-30,IPF,World Powerlifting Championships
Jack Dunkley,M,SBD,Raw,22.5,20-23,Open,112.85,120,240,162.5,275,2,2018-07-09,IPF,3rd World University Powerlifting Cup
Jamie Emberley,M,B,Single-ply,23.5,24-34,Open,107.2,110,NA,220,NA,12,2004-12-02,IPF,World Bench Press Championships
Kiyoshi Kawamura,M,SBD,Raw,47.5,45-49,Masters 1,58.7,59,152.5,107.5,190,2,2016-06-19,IPF,World Classic Powerlifting Championships
Sergey Romanenko,M,SBD,Single-ply,24.5,24-34,Open,89.8,90,NA,NA,NA,DQ,1997-12-13,IPF,Men's World Powerlifting Championships
Hana Takáčová,F,SBD,Single-ply,56.5,55-59,Masters 2,82.44,84,145,135,150,1,2011-09-26,IPF,World Masters Powerlifting Championships
Akio Kobayashi,M,SBD,Single-ply,21.5,20-23,Juniors,59.3,60,185,107.5,185,10,1998-10-21,IPF,World Juniors Powerlifting Championships
Ranbir Singh Sahota,M,SBD,Single-ply,31.5,24-34,Open,125.08,120+,380,222.5,327.5,12,2015-11-09,IPF,World Powerlifting Championships
Jón Gunnarsson,M,SBD,Single-ply,46,45-49,Masters 1,89.45,90,302.5,200,295,1,2005-10-04,IPF,World Masters Powerlifting Championships
Tuomas Hautala,M,SBD,Raw,21.5,20-23,Juniors,118.95,120,310,200,362.5,1,2014-06-01,IPF,World Classic Powerlifting Championships
Christine Bindemann,F,SBD,Single-ply,34.5,24-34,Open,58.1,60,135,62.5,162.5,11,1996-06-25,IPF,Women's World Powerlifting Championships
Tsuko Watanabe,F,B,Single-ply,29.5,24-34,Open,48,48,NA,72.5,NA,2,1992-12-08,IPF,World Bench Press Championships
Horst Diter,M,SBD,Single-ply,63.5,60-64,Masters 3,66.5,67.5,192.5,100,200,3,2007-06-10,IPF,World Masters Powerlifting Championships
Helena Heiniluoma,F,B,Single-ply,28.5,24-34,Open,60,60,NA,105,NA,1,1991-12-15,IPF,World Bench Press Championships
Marjaana Vähäsantanen,F,SBD,Raw,40.5,40-44,Masters 1,62.49,63,140,77.5,142.5,3,2017-06-14,IPF,World Classic Powerlifting Championships
Jukka Kenttälä,M,SBD,Single-ply,21.5,20-23,Juniors,89.6,90,287.5,177.5,315,3,1993-10-29,IPF,World Juniors Powerlifting Championships
Ekaterina Kryukova,F,B,Raw,32.5,24-34,Open,71.48,72,NA,117.5,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
Antonio Taguibao,M,SBD,Single-ply,51.5,50-54,Masters 2,55.42,56,180,90,180,1,2010-09-27,IPF,World Masters Championships
Regie Ramirez,M,SBD,Single-ply,18.5,18-19,Juniors,52.79,53,197.5,107.5,212.5,4,2012-08-28,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Toshio Kitano,M,SBD,Single-ply,69.5,65-69,Masters 4,82.46,83,235,NA,230,DQ,2016-10-03,IPF,World Masters Championships
Michael Hara,M,B,Single-ply,48,45-49,Open,74.4,75,NA,235,NA,2,2008-06-25,IPF,World Bench Press Championships
Rolf Mertens,M,SBD,Single-ply,NA,NA,Masters 2,100,100,160,110,215,9,1986-10-03,IPF,World Masters Powerlifting Championships
Andrew Dawes,M,SBD,Raw,24.5,24-34,Open,65.14,66,200,125,217.5,9,2016-06-19,IPF,World Classic Powerlifting Championships
Gaiminum Adam,M,SBD,Raw,22.5,20-23,Juniors,83,83,250,175,265,6,2019-06-04,IPF,World Classic Powerlifting Championships
Viktor Testsov,M,SBD,Single-ply,22.5,20-23,Open,137.94,120+,435,357.5,355,1,2012-11-10,IPF,World Powerlifting Championships
Dana Rosenzweig,M,B,Single-ply,55.5,55-59,Masters 2,92.59,93,NA,200,NA,7,2013-04-18,IPF,World Masters Bench Press Championships
Hiroyuki Isagawa,M,B,Single-ply,59.5,55-59,Masters 3,58.44,59,NA,NA,NA,DQ,2013-04-18,IPF,World Masters Bench Press Championships
Mykola Oliynyk,M,SBD,Single-ply,22,20-23,Juniors,82.55,90,292.5,202.5,280,2,2004-08-09,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Garrett Bentley,M,SBD,Raw,28.5,24-34,Open,124.23,120+,297.5,197.5,277.5,15,2017-06-14,IPF,World Classic Powerlifting Championships
Mike Jackson,M,SBD,Single-ply,21.5,20-23,Juniors,94.5,100,305,177.5,285,5,1996-08-07,IPF,World Juniors Powerlifting Championships
Tim Wheeler,M,SBD,Raw,39.5,35-39,Masters 1,91.75,93,210,110,252.5,7,2014-06-01,IPF,World Classic Powerlifting Championships
Alexander Diepold,M,B,Single-ply,68.5,65-69,Masters 3,59.2,60,NA,110,NA,2,2006-04-19,IPF,World Masters Bench Press Championships
Frankmary Duno,F,SBD,Single-ply,29.5,24-34,Light,46.14,47,170,110,162.5,6,2017-07-24,IPF,World Games
Helen Allen,F,SBD,Single-ply,54.5,50-54,Masters 2,56.36,57,110,67.5,172.5,1,2016-10-03,IPF,World Masters Championships
Alash Mamabayev,M,SBD,Single-ply,21.5,20-23,Juniors,88.1,90,275,175,275,5,2002-09-10,IPF,World Juniors Powerlifting Championships
Stanislav Maroň,M,SBD,Single-ply,49.5,45-49,Masters 2,108.6,110,235,180,240,3,2001-10-17,IPF,World Masters Powerlifting Championships
Kari Vilppola,M,B,Single-ply,52.5,50-54,Masters 2,109.9,110,NA,232.5,NA,2,2008-04-16,IPF,World Masters Bench Press Championships
Magdolna Petróczki,F,SBD,Raw,43.5,40-44,Open,50.7,52,125,75,152.5,3,2012-06-12,IPF,World Classic Powerlifting Cup
Jiří Kati,M,B,Single-ply,47.5,45-49,Masters 1,91.45,93,NA,NA,NA,DQ,2013-04-18,IPF,World Masters Bench Press Championships
Renate Spiegel,F,B,Single-ply,61.5,60-64,Masters 2,70.6,75,NA,70,NA,2,2001-04-13,IPF,World Masters Bench Press Championships
Ejeri Hisashi,M,SBD,Single-ply,NA,NA,NA,51.6,52,NA,NA,NA,DQ,1991-11-14,IPF,Men's World Powerlifting Championships
Liz Willett,F,SBD,Single-ply,30.5,24-34,Open,148.5,90+,NA,NA,NA,DQ,2003-05-22,IPF,Women's World Powerlifting Championships
Stefan Cholakov,M,B,Single-ply,26.5,24-34,Open,112.5,125,NA,230,NA,11,2003-12-05,IPF,World Bench Press Championships
Christian Klein,M,B,Single-ply,26.5,24-34,Open,51.5,52,NA,130,NA,3,1997-12-05,IPF,World Bench Press Championships
Josef Teslar,M,SBD,Single-ply,47.5,45-49,Masters 1,97.5,100,230,170,210,16,1997-10-14,IPF,World Masters Powerlifting Championships
Patrick Van Der Putten,M,B,Single-ply,32.5,24-34,Open,103.8,105,NA,NA,NA,DQ,2013-05-20,IPF,World Bench Press Championships
Kimberly Johnson,F,SBD,Single-ply,20.5,20-23,Juniors,55.36,57,165,107.5,172.5,2,2015-08-31,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Yoshihiro Anan,M,SBD,Single-ply,21.5,20-23,Juniors,59.7,60,175,112.5,185,9,1997-09-12,IPF,World Juniors Powerlifting Championships
Yuki Ishihara,M,SBD,Single-ply,16.5,16-17,Sub-Juniors,51.84,53,150,87.5,187.5,6,2011-08-30,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Kuan-Ting Chen,F,SBD,Single-ply,21.5,20-23,Juniors,50.8,52,172.5,80,137.5,2,1999-10-05,IPF,World Juniors Powerlifting Championships
Disa Hatfield,F,SBD,Single-ply,34,24-34,Open,66.98,67.5,187.5,140,197.5,5,2008-10-30,IPF,World Powerlifting Championships
Aoi Sawayama,F,SBD,Single-ply,19.5,20-23,Juniors,46.65,47,152.5,82.5,137.5,1,2018-09-03,IPF,World Juniors & Sub-Juniors Championships
Kjell Egil Bakkelund,M,SBD,Single-ply,21.5,20-23,Juniors,78.9,82.5,292.5,210,267.5,5,2010-09-27,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Walter Gómez,M,SBD,Single-ply,21.5,20-23,Juniors,52.37,53,187.5,125,185,2,2011-08-30,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Hsiu-Jung Lo,F,SBD,Single-ply,22,20-23,Juniors,71.65,75,190,115,190,2,2007-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Lucica Olah,F,SBD,Single-ply,61.5,60-64,Masters 3,62.16,63,117.5,55,132.5,1,2017-10-01,IPF,World Masters Powerlifting Championships
Brian Desjarlais,M,SBD,Single-ply,53.5,50-54,Masters 2,82.7,90,175,175,197.5,9,2003-10-08,IPF,World Masters Powerlifting Championships
Brian Irwin,M,SBD,Single-ply,30.5,24-34,Open,143.68,125+,340,262.5,340,7,2008-10-30,IPF,World Powerlifting Championships
Rüdiger Hopp,M,SBD,Single-ply,54.5,50-54,Masters 2,99.19,100,295,157.5,252.5,7,2010-09-27,IPF,World Masters Championships
Bill Sindelar,M,SBD,Single-ply,59.5,55-59,Masters 3,111.06,120,252.5,195,257.5,1,2011-09-26,IPF,World Masters Powerlifting Championships
Mohamed Lakehal,M,SBD,Raw,33.5,24-34,Open,59,59,220,110,240,4,2016-06-19,IPF,World Classic Powerlifting Championships
Chia-Lin Tsai,M,SBD,Single-ply,20.5,20-23,Open,95.1,100,250,152.5,250,16,1997-12-13,IPF,Men's World Powerlifting Championships
Ayman Kichi,M,SBD,Single-ply,20.5,20-23,Juniors,80.9,82.5,242.5,132.5,250,13,2001-09-11,IPF,World Juniors Powerlifting Championships
Chiyomi Sawa,F,B,Single-ply,63.5,60-64,Masters 3,62.53,63,NA,97.5,NA,1,2013-04-18,IPF,World Masters Bench Press Championships
Andrei Moskalev,M,SBD,Single-ply,29.5,24-34,Open,89.4,90,290,182.5,300,8,1992-11-19,IPF,World Men's Powerlifting Championship
Thomas Edvinsson,M,SBD,Raw,41.5,40-44,Masters 1,92.75,93,242.5,182.5,242.5,5,2019-06-04,IPF,World Classic Powerlifting Championships
James Godfrey,M,SBD,Single-ply,NA,NA,Masters 2,100,100,200,137.5,247.5,8,1986-10-03,IPF,World Masters Powerlifting Championships
Zharkyn Abdulin,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,51.48,52,155,75,150,2,2011-08-30,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Betina Bordeos Ma,F,SBD,Single-ply,21.5,20-23,Juniors,56.5,57,125,82.5,165,6,2012-08-28,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Ivanna Savchak,F,B,Single-ply,21,20-23,Juniors,67.7,72,NA,132.5,NA,2,2011-05-25,IPF,World Bench Press Championships
Peter McGrath,M,SBD,Single-ply,27,24-34,Open,100,100,NA,NA,NA,DQ,1988-11-11,IPF,Men's World Powerlifting Championships
Amit Selberg,M,B,Single-ply,17.5,18-19,Open,50.7,52,NA,100,NA,6,1994-12-04,IPF,World Bench Press Championships
Dariusz Wszoła,M,B,Single-ply,38.5,35-39,Open,58.65,59,NA,172.5,NA,7,2017-05-22,IPF,World Bench Press Championships
Sheng-Nan Yang,M,SBD,Single-ply,17.5,18-19,Juniors,59.4,60,195,110,260,4,2000-09-13,IPF,World Juniors Powerlifting Championships
Adam Czupori,M,SBD,Single-ply,42.5,40-44,Masters 1,96.4,100,270,170,270,8,2000-10-17,IPF,World Masters Powerlifting Championships
Dmitri Veretuchin,M,SBD,Single-ply,17.5,18-19,Open,74.5,75,220,140,200,G,2001-04-22,IPF,Student's World Cup
Matthias Simpig,M,SBD,Single-ply,34.5,24-34,Open,99.4,100,290,190,287.5,13,2007-10-14,IPF,World Powerlifting Championships
Maurice Lambert,M,SBD,Single-ply,43.5,40-44,Masters 1,90,90,230,150,260,4,1986-10-03,IPF,World Masters Powerlifting Championships
Tomoko Sakamaki,F,B,Single-ply,51.5,50-54,Masters 2,55.1,57,NA,100,NA,1,2017-05-22,IPF,World Bench Press Championships
Yauheni Prakapuk,M,SBD,Raw,21.5,20-23,Open,65.61,66,150,145,200,5,2016-07-11,IPF,World University Powerlifting Cup
Suwarno,M,SBD,Single-ply,21.5,20-23,Juniors,66.4,67.5,255,120,235,3,1994-06-18,IPF,World Juniors Powerlifting Championships
Edvard Jensen Jan,M,SBD,Single-ply,57.5,55-59,Masters 2,92.82,93,295,185,260,2,2017-10-01,IPF,World Masters Powerlifting Championships
Floroan Dorfner,M,SBD,Single-ply,19.5,20-23,Juniors,67.4,67.5,232.5,140,230,10,1998-10-21,IPF,World Juniors Powerlifting Championships
Jim Jong,M,SBD,Single-ply,41.5,40-44,Masters 1,58.9,60,180,142.5,215,2,2001-10-17,IPF,World Masters Powerlifting Championships
Joe Oliveira,M,SBD,Single-ply,45.5,45-49,Masters 1,104.26,105,310,230,270,7,2015-09-28,IPF,World Masters Powerlifting Championships
Michael Hara,M,B,Single-ply,44,40-44,Open,74.1,75,NA,NA,NA,DQ,2004-12-02,IPF,World Bench Press Championships
Sergey Krilov,M,B,Single-ply,26.5,24-34,Open,58.2,59,NA,172.5,NA,4,2011-05-25,IPF,World Bench Press Championships
Hugo Beaumont,M,SBD,Raw,23.5,24-34,Open,72.57,74,217.5,142.5,255,2,2018-07-09,IPF,3rd World University Powerlifting Cup
Shirazutin Bazaev,M,SBD,Single-ply,27.5,24-34,Open,73.4,75,310,175,NA,DQ,1996-12-14,IPF,Men's World Powerlifting Championships
Anthony Warren,M,B,Single-ply,52.5,50-54,Masters 2,97,100,NA,NA,NA,DQ,2002-04-18,IPF,World Masters Bench Press Championships
Kasuyu Yanagida,M,B,Single-ply,34.5,24-34,Open,51.2,52,NA,142.5,NA,2,1998-12-11,IPF,World Bench Press Championships
Erik Rasmusen,M,B,Single-ply,38.5,35-39,Open,74.7,75,NA,162.5,NA,8,2001-12-07,IPF,World Bench Press Championships
Josefine Nemeth,F,B,Single-ply,48.5,45-49,Masters 1,64.4,67.5,NA,75,NA,3,2004-04-21,IPF,World Masters Bench Press Championships
Hideaki Inaba,M,SBD,Single-ply,57,55-59,Masters 2,52.5,56,225,85,222.5,1,2001-10-17,IPF,World Masters Powerlifting Championships
Hans Ring,M,SBD,Single-ply,62.5,60-64,Masters 3,119,125,245,180,255,2,2007-06-10,IPF,World Masters Powerlifting Championships
Pavol Demčák,M,SBD,Raw,39.5,35-39,Open,119.2,120,292.5,217.5,285,6,2017-06-14,IPF,World Classic Powerlifting Championships
Chimedtseren Bataa,M,B,Single-ply,34.5,24-34,Open,118.93,120,NA,NA,NA,DQ,2016-04-19,IPF,World Bench Press Championships
Thomas Wulffeld,M,SBD,Raw,45.5,45-49,Masters 1,58.78,59,167.5,90,212.5,1,2015-06-05,IPF,World Classic Powerlifting Championships
Fabrice Bertin,M,B,Single-ply,52,50-54,Masters 2,82.78,83,NA,222.5,NA,2,2019-05-18,IPF,World Bench Press Championships
Ralf Gierz,M,SBD,Single-ply,29.5,24-34,Open,146.2,125+,360,245,305,7,1996-12-14,IPF,Men's World Powerlifting Championships
Oleksandr Shliakhta,M,B,Raw,38.5,35-39,Open,78.37,83,NA,195,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Milan Gombár,M,SBD,Single-ply,51.5,50-54,Masters 2,59.3,60,160,95,192.5,3,2000-10-17,IPF,World Masters Powerlifting Championships
Christian Henneberger,M,SBD,Single-ply,21.5,20-23,Juniors,74.6,75,235,125,230,9,1995-07-23,IPF,World Juniors Powerlifting Championships
T. Molly,F,SBD,Single-ply,26.5,24-34,Open,50,52,120,55,140,14,1995-05-05,IPF,Women's World Powerlifting Championships
Miklós Fekete,M,SBD,Raw,43.5,40-44,Masters 1,91.15,93,262.5,175,260,2,2017-06-14,IPF,World Classic Powerlifting Championships
Aino Autio,F,SBD,Raw,17.5,18-19,Sub-Juniors,83.33,84,137.5,80,162.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Kamil Kuriata,M,B,Raw,16.5,16-17,Sub-Juniors,72.5,74,NA,142.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Markus Larsson,M,B,Single-ply,40.5,40-44,Open,118.74,120,NA,302.5,NA,7,2015-05-20,IPF,World Bench Press Championships
Konstantīn Konstantīnovs,M,SBD,Single-ply,22.5,20-23,Open,110.7,125,325,230,310,1,2001-04-22,IPF,Student's World Cup
Pete Grohoski,M,B,Single-ply,46.5,45-49,Masters 1,92.8,93,NA,245,NA,4,2017-05-22,IPF,World Bench Press Championships
Frédéric Tinebra,M,SBD,Single-ply,29.5,24-34,Open,55.44,56,220,147.5,205,4,2008-10-30,IPF,World Powerlifting Championships
Amanda Foulkes,F,SBD,Raw,31,24-34,Open,51.65,52,NA,70,170,DQ,2019-06-04,IPF,World Classic Powerlifting Championships
Evie Corrigan,F,SBD,Raw,21.5,20-23,Juniors,51.8,52,140.5,85,160,1,2018-06-06,IPF,6th World Classic Championships
John Myers,M,SBD,Single-ply,52,50-54,Masters 2,67.4,67.5,220,125,250,1,2008-09-30,IPF,World Masters Powerlifting Championships
Geoff Poole,M,SBD,Single-ply,41.5,40-44,Masters 1,108.8,110,310,155,275,4,1999-10-19,IPF,World Masters Powerlifting Championships
Dainis Reinholds,M,B,Single-ply,65.5,65-69,Masters 3,123.5,120+,NA,235,NA,2,2017-05-22,IPF,World Bench Press Championships
Mohamed Sahad,M,SBD,Raw,29.5,24-34,Open,103.26,105,292.5,190,300,9,2017-06-14,IPF,World Classic Powerlifting Championships
Narendra Bhairo,M,SBD,Wraps,NA,NA,Open,48.1,52,152.5,95,175,4,1975-11-22,IPF,Men's World Powerlifting Championships
Keisuke Tanaka,M,SBD,Raw,17.5,18-19,Sub-Juniors,71.9,74,157.5,115,187.5,10,2016-06-19,IPF,World Classic Powerlifting Championships
Tadashi Tachibana,M,SBD,Single-ply,50.5,50-54,Masters 2,88.8,90,272.5,NA,NA,DQ,2000-10-17,IPF,World Masters Powerlifting Championships
James Henderson #1,M,B,Raw,31.5,24-34,Open,180.5,125+,NA,320,NA,1,1997-12-05,IPF,World Bench Press Championships
Kenneth Sandvik,M,SBD,Single-ply,37.5,35-39,Open,141.6,120+,412.5,342.5,320,6,2013-11-04,IPF,World Powerlifting Championships
Jordi Snijders,M,B,Single-ply,32.5,24-34,Open,125.54,120+,NA,NA,NA,DQ,2019-05-18,IPF,World Bench Press Championships
Seppo Flink,M,B,Single-ply,53.5,50-54,Masters 2,59.2,60,NA,110,NA,3,2007-09-12,IPF,World Masters Bench Press Championships
Sami Viitila,M,B,Single-ply,NA,NA,NA,100,100,NA,205,NA,3,1990-12-16,IPF,World Bench Press Championships
Desmond Scott,M,SBD,Raw,72.5,70-74,Masters 4,72.8,74,105,77.5,157.5,2,2014-06-01,IPF,World Classic Powerlifting Championships
Marianna Bogdanova,F,SBD,Raw,31.5,24-34,Open,56.59,57,115,62.5,145,13,2015-06-05,IPF,World Classic Powerlifting Championships
Tagy Parnian,M,B,Single-ply,34.5,24-34,Open,59.2,60,NA,185,NA,2,2003-12-05,IPF,World Bench Press Championships
Gina Hensley,F,SBD,Raw,22.5,20-23,Juniors,76.85,84,165,100,185,2,2018-06-06,IPF,6th World Classic Championships
Sean Brown,M,B,Single-ply,39.5,35-39,Open,122.1,125,NA,NA,NA,DQ,2004-12-02,IPF,World Bench Press Championships
Maria Pia Moscianese,F,SBD,Single-ply,42.5,40-44,Masters 1,75.4,82.5,150,70,180,2,2006-10-02,IPF,World Masters Powerlifting Championships
Anton Speth,M,B,Single-ply,45.5,45-49,Open,119.6,125,NA,190,NA,13,2001-12-07,IPF,World Bench Press Championships
Maekawa Yoshinori,M,SBD,Single-ply,NA,NA,Juniors,59.5,60,190,130,187.5,6,2004-08-09,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Evgeniy Mukhomedyanov,M,SBD,Raw,36.5,35-39,Open,58.52,59,212.5,135,222.5,3,2018-06-06,IPF,6th World Classic Championships
Renato Rosa,M,SBD,Single-ply,20.5,20-23,Juniors,117.6,125,300,177.5,260,6,2009-09-07,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Kozue Nemoto,F,SBD,Single-ply,23,20-23,Juniors,42.75,43,112.5,67.5,140,1,2015-08-31,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Oxana Gordyenko,F,SBD,Single-ply,21.5,20-23,Juniors,52,52,132.5,70,155,3,1999-10-05,IPF,World Juniors Powerlifting Championships
Vicky Steenrod,F,SBD,Single-ply,35,35-39,Open,60,60,195,105,202.5,1,1985-06-01,IPF,Women's World Powerlifting Championships
Lyudmila Protchenko,F,B,Raw,32.5,24-34,Open,83.92,84,NA,147.5,NA,1,2019-05-18,IPF,World Bench Press Championships
Jan-Erik Christiansen,M,SBD,Single-ply,23,20-23,NA,55.3,56,190,115,180,8,1991-11-14,IPF,Men's World Powerlifting Championships
Ede Hermanto,M,SBD,Single-ply,NA,NA,Open,80,82.5,210,150,190,19,1982-11-04,IPF,Men's World Powerlifting Championships
Wei-Ling Chen,F,SBD,Single-ply,27,24-34,Light,46.75,52,207.5,92.5,195,1,2009-07-25,IPF,World Games
Giedre Vidziuniene,F,SBD,Single-ply,51.5,50-54,Masters 2,69.85,72,135,67.5,140,3,2018-10-02,IPF,World Masters Powerlifting Championships
Rudie Smith,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,73.6,75,140,NA,NA,DQ,2001-09-16,IPF,World Sub-Juniors Powerlifting Championships
Jonas Enkvist,M,B,Raw,47.5,45-49,Masters 1,73.24,74,NA,145,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Hennis Washington,M,SBD,Single-ply,35,35-39,Open,59.9,60,260,145,247.5,4,2005-11-08,IPF,Men's World Powerlifting Championships
Sergey Knyazev,M,B,Single-ply,39.5,35-39,Open,80.12,83,NA,NA,NA,DQ,2016-04-19,IPF,World Bench Press Championships
Roy Berndt,M,B,Raw,51,50-54,Masters 2,80.62,83,NA,152.5,NA,6,2017-04-22,IPF,World Classic Bench Press Championships
Beate Grabosch,F,SBD,Single-ply,22.5,20-23,Juniors,63.9,67.5,155,87.5,145,11,1998-10-21,IPF,World Juniors Powerlifting Championships
Katsuji Kawabe,M,B,Single-ply,68.5,65-69,Masters 3,91.9,93,NA,170,NA,5,2011-04-13,IPF,World Masters Bench Press Championships
Takahiro Takimoto,M,B,Raw,23,20-23,Juniors,101.9,105,NA,222,NA,1,2019-05-18,IPF,World Bench Press Championships
Jan Joskowski,M,SBD,Single-ply,18.5,18-19,Juniors,110.5,125,320,200,320,7,2010-09-27,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Alexander Moiseev,M,SBD,Single-ply,61.5,60-64,Masters 3,57.94,59,120,77.5,142.5,1,2016-10-03,IPF,World Masters Championships
István Juhász,M,B,Single-ply,23.5,24-34,Open,67.2,67.5,NA,172.5,NA,7,2000-12-08,IPF,World Bench Press Championships
Suzanne Daniel,F,SBD,Raw,22,20-23,Juniors,62.75,63,142.5,87.5,191,6,2019-06-04,IPF,World Classic Powerlifting Championships
Olimpia Felinska,F,SBD,Single-ply,20.5,20-23,Open,56.19,57,NA,92.5,NA,DQ,2013-11-04,IPF,World Powerlifting Championships
John Gamble,M,SBD,Single-ply,NA,NA,Open,124,125,382.5,245,340,1,1983-11-10,IPF,Men's World Powerlifting Championships
Antoinette Kriel,F,B,Raw,44.5,40-44,Open,51.4,52,NA,87.5,NA,3,2016-05-15,IPF,World Classic Bench Press Championships
S. Arones,M,SBD,Single-ply,NA,NA,Juniors,67.5,67.5,150,75,180,9,1987-09-17,IPF,World Juniors Powerlifting Championships
Bev Francis,F,SBD,Single-ply,28,24-34,Open,80.05,82.5,217.5,145,215,1,1983-05-07,IPF,Women's World Powerlifting Championships
Anatoliy Bolyuku,M,SBD,Single-ply,49.5,45-49,Masters 2,89.2,90,260,165,250,4,2000-10-17,IPF,World Masters Powerlifting Championships
Chuck Dunbar,M,SBD,Single-ply,27,24-34,Open,51.2,52,217.5,137.5,177.5,1,1984-11-23,IPF,Men's World Powerlifting Championships
Alexander Kapturov,M,SBD,Raw,22.5,20-23,Open,73.58,74,242.5,135,252.5,1,2018-07-09,IPF,3rd World University Powerlifting Cup
Oscar Soria,M,SBD,Single-ply,50.5,50-54,Masters 2,162.7,125+,285,195,282.5,2,1999-10-19,IPF,World Masters Powerlifting Championships
Viacheslav Shavlay,M,SBD,Single-ply,15.5,16-17,Sub-Juniors,52.4,53,162.5,80,175,4,2014-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Linda Park,F,SBD,Single-ply,50.5,50-54,Masters 2,112.44,84+,87.5,75,110,2,2016-10-03,IPF,World Masters Championships
Benjamin Rowe,M,SBD,Single-ply,40,40-44,Masters 1,82.65,83,290,192.5,260,1,2016-10-03,IPF,World Masters Championships
Megan Hinchley,F,SBD,Raw,33.5,24-34,Open,51.21,52,115,62.5,132.5,9,2015-06-05,IPF,World Classic Powerlifting Championships
Jukka Lahikainen,M,B,Single-ply,27.5,24-34,Open,109.3,110,NA,222.5,NA,8,1996-12-01,IPF,World Bench Press Championships
Yung-Chang Lee,M,SBD,Single-ply,37.5,35-39,Open,59.4,60,235,140,260,3,1998-11-10,IPF,Men's World Powerlifting Championships
André Peeters,M,SBD,Single-ply,38.5,35-39,Heavy,98.9,100,360,240,330,4,2009-07-25,IPF,World Games
Fabian Machado,M,SBD,Single-ply,22.5,20-23,Juniors,82.3,83,302.5,NA,305,DQ,2014-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Monika Sroczyk,F,B,Raw,23.5,24-34,Open,56.6,57,NA,100,NA,2,2016-05-15,IPF,World Classic Bench Press Championships
Hajmalka Godo,F,SBD,Single-ply,19.5,20-23,Juniors,65.2,67.5,NA,NA,NA,DQ,1998-10-21,IPF,World Juniors Powerlifting Championships
Seppo Sohlman,M,SBD,Single-ply,25.5,24-34,Open,82.2,82.5,270,185,337.5,5,2001-11-15,IPF,Men's World Powerlifting Championships
Ariel Groeneboom,M,SBD,Single-ply,31.5,24-34,Open,86.5,90,295,NA,NA,DQ,1996-12-14,IPF,Men's World Powerlifting Championships
Wieslaw Grabski,M,B,Single-ply,22.5,20-23,Open,80.6,82.5,NA,215,NA,5,2000-12-08,IPF,World Bench Press Championships
Aimo Tuomisto,M,SBD,Wraps,NA,NA,Open,51,52,170,100,180,5,1976-11-06,IPF,Men's World Powerlifting Championships
Antonio Taguibao,M,SBD,Single-ply,50.5,50-54,Masters 2,55.4,56,177.5,87.5,180,1,2009-09-28,IPF,World Masters Powerlifting Championships
Tony Cliffe,M,SBD,Raw,28.5,24-34,Open,119.2,120,310,220,340,4,2013-06-11,IPF,World Classic Powerlifting Championships
Farkhad Kanalbekov,M,B,Single-ply,21.5,20-23,Juniors,58.6,59,NA,170,NA,1,2018-04-23,IPF,World Bench Press Championships
Melanie Durrant,F,SBD,Single-ply,24.5,24-34,Open,63.76,67.5,175,102.5,170,10,2008-10-30,IPF,World Powerlifting Championships
Sergey Shepitsyn,M,B,Raw,37.5,35-39,Open,100,100,NA,192.5,NA,1,1996-12-01,IPF,World Disabled Bench Press Championships
Marcin Skowroński,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,101,110,290,162.5,240,5,2008-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Evgeni Dmitriev,M,SBD,Single-ply,56.5,55-59,Masters 2,117.9,125,200,160,215,11,1997-10-14,IPF,World Masters Powerlifting Championships
Susanne Cleve,F,SBD,Single-ply,37.5,35-39,Open,71.3,75,145,90,180,11,2002-05-29,IPF,Women's World Powerlifting Championships
